Players_name,Players_overs,Players_Maiden_overs,Players_Runs,Players_Wickets,Players_Economic_rate
Washington Sundar,4,0,15,2,3.75
Mohammed Siraj,5,0,17,2,3.4
Avesh Khan,5,1,8,0,1.6
Shahbaz Ahmed,7,0,32,2,4.57
Shardul Thakur,2,0,8,0,4
Kuldeep Yadav,4.1,1,18,4,4.32
