Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Rohit Sharma *,b Bracewell,101,85,9,6,118.82
Shubman Gill,c Conway b Tickner,112,78,13,LO 5,143.59
Virat Kohli,c Allen b Duffy,36,27,3,1,133.33
Ishan Kishant,run out,17,24,1,1,70.83
Suryakumar Yadav,c Conway b Duffy,14,9,O,2,155.56
Hardik Pandya,c Conway b Duffy,54,38,3,3,142.11
Washington Sundar,c Mitchell b Tickner,9,14,1,0,64.29
Shardul Thakur,c tLatham b Tickner,25,17,3,1,147.06
Kuldeep Yadav,run out,3,3,0,0,100
Umran Malik,not out,2,5,0,0,40
Yuzvendra Chahal,,,,,,
