Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Shubman Gill,c & b Rabada,28,26,4,0,107.69
Ishan Kishan,c Hendricks b Fortuin,93,84,4,7,110.71
Shreyas Iyer,not out,113,111,15,0,101.8
Sanju Samson†,not out,30,36,1,1,83.33
Shardul Thakur,,,,,,
Washington Sundar,,,,,,
Shahbaz Ahmed,,,,,,
Kuldeep Yadav,,,,,,
Avesh Khan,,,,,,
Avesh Khan,,,,,,
Mohammed Siraj,,,,,,
