Player,Dismissal,Runs,Balls Faced,Fours,Sixes,Strike Rate
Shubman Gill,lbw b Ngidi,49,57,8,0,85.96
Ishan Kishan,c †de Kock b Fortuin,10,18,2,0,55.56
Shreyas Iyer,not out,28,23,3,2,121.74
Sanju Samson†,not out,2,4,0,0,50
Shardul Thakur,,,,,,
Washington Sundar,,,,,,
Shahbaz Ahmed,,,,,,
Kuldeep Yadav,,,,,,
Avesh Khan,,,,,,
