Players_name,Players_overs,Players_Maiden_overs,Players_Runs,Players_Wickets,Players_Economic_rate
Mohammed Siraj,8,0,49,0,6.13
Avesh Khan,8,0,51,0,6.38
Shardul Thakur,8,1,35,2,4.38
"Ravi Bishnoi
‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒‒",8,0,69,1,8.63
Kuldeep Yadav,8,0,39 49,1,4.88
