Players_name,Players_overs,Players_Maiden_overs,Players_Runs,Players_Wickets,Players_Economic_rate
Mohammed Siraj,10,1,38,3,3.8
Washington Sundar,9,0,60,1,6.67
Shahbaz Ahmed,10,0,54,1,5.4
Avesh Khan,7,0,35,0,5
Kuldeep Yadav,9,0,49,1,5.44
Shardul Thakur,5,0,36,1,7.2
