Players_name,Players_overs,Players_Maiden_overs,Players_Runs,Players_Wickets,Players_Economic_rate
Hardik Pandya,6,0,37,1,6.17
Washington Sundar,6,0,49,0,8.17
Shardul Thakur,6,0,45,3,7.5
"Umran Malik
",7,0,52,1,7.43
Kuldeep Yadav,9,0,62,3,6.89
"Yuzvendra Chahal
",7.2,0,43,2,5.86
