Players_name,Players_overs,Players_Maiden_overs,Players_Runs,Players_Wickets,Players_Economic_rate
Mohammed Shami,10,1,69,1,6.9
Mohammed Siraj,10,2,46,4,4.6
Hardik Pandya,7,0,70,1,10
Kuldeep Yadav,8,1,43,2,5.38
Shardul Thakur,7.2,0,54,2,7.36
Washington Sundar,7,0,50,0,7.14
